file,label,pool,split,copies
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_-3jYEDjMgbo_eloquence_37.58s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_0.35s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_17.70s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_476.88s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_506.23s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_535.95s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_6.54s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_60.59s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_839.69s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_eloquence_918.41s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_l-eloquence_345.57s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_l-eloquence_365.48s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_l-eloquence_400.69s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_10QZrElb_iY_l-eloquence_468.35s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_17xKZ6gQC4w_d-eloquence_125.17s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_17xKZ6gQC4w_d-eloquence_274.88s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_17xKZ6gQC4w_d-eloquence_7.43s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_17xKZ6gQC4w_l-eloquence_182.11s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_17xKZ6gQC4w_l-eloquence_184.07s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_17xKZ6gQC4w_l-eloquence_186.07s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1DFrPNtFR8Q_eloquence_26.04s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1DFrPNtFR8Q_eloquence_54.83s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1DFrPNtFR8Q_l-eloquence_100.61s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1TxEYi1IKzU_d-eloquence_258.50s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1TxEYi1IKzU_l-eloquence_778.87s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1_GJ2XYEitk_eloquence_34.92s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1hbAbLwQu1s_d-eloquence_7.17s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1hbAbLwQu1s_d-eloquence_86.59s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_1hbAbLwQu1s_l-eloquence_99.75s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_2cj8Kxw6cuI_eloquence_830.49s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_2fexehtA4CY_l-eloquence_399.58s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_37MbUjx-fuA_eloquence_114.05s.wav,1,yt_positif,train,1
/Volumes/extreme_pro_ssd/alyra/13.PROJET_CERTIF/02.SOFTWARE/coach-vocal-mlops/data/wakewords/eloquence/clean/positives/yt_37MbUjx-fuA_eloquence_658.88s.wav,1,yt_positif,train,1
